company,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
TYSON FOODS INC,M6 IPF+Occ,gender,0.41,0.41,0.003,0.41,Male,,,,-0.41,,0.41,,,,
TYSON FOODS INC,M6 IPF+Occ,hispanic,19.94,19.94,0.1941,19.94,Hispanic,,,,,-19.94,,,19.94,,
PRISM HOTEL PARTNERS GP,M1 Baseline (60/40),race,4.59,5.426,0.1362,9.7,White,-0.89,-5.18,-5.93,,,,-1.77,,4.08,9.7
PRISM HOTEL PARTNERS GP,M1 Baseline (60/40),gender,2.22,2.22,0.0159,2.22,Male,,,,-2.22,,2.22,,,,
PRISM HOTEL PARTNERS GP,M1 Baseline (60/40),hispanic,1.56,1.56,0.0113,1.56,Hispanic,,,,,1.56,,,-1.56,,
PRISM HOTEL PARTNERS GP,M2 Three-Layer (50/30/20),race,4.52,5.106,0.1419,6.89,Two+,-0.88,-4.82,-6.09,,,,-1.77,,6.89,6.69
PRISM HOTEL PARTNERS GP,M2 Three-Layer (50/30/20),gender,3.27,3.27,0.0234,3.27,Male,,,,-3.27,,3.27,,,,
PRISM HOTEL PARTNERS GP,M2 Three-Layer (50/30/20),hispanic,2.32,2.32,0.0168,2.32,Hispanic,,,,,2.32,,,-2.32,,
PRISM HOTEL PARTNERS GP,M3 IPF,race,12.05,17.03,0.3319,36.15,White,-1.37,-9.11,-17.44,,,,-1.83,,-6.4,36.15
PRISM HOTEL PARTNERS GP,M3 IPF,gender,2.06,2.06,0.0149,2.06,Male,,,,2.06,,-2.06,,,,
PRISM HOTEL PARTNERS GP,M3 IPF,hispanic,13.43,13.43,0.1029,13.43,Hispanic,,,,,-13.43,,,13.43,,
PRISM HOTEL PARTNERS GP,M4 Occ-Weighted,race,4.69,5.348,0.1496,8.44,White,-0.95,-6.0,-5.34,,,,-1.78,,5.64,8.44
PRISM HOTEL PARTNERS GP,M4 Occ-Weighted,gender,0.82,0.82,0.0059,0.82,Male,,,,-0.82,,0.82,,,,
PRISM HOTEL PARTNERS GP,M4 Occ-Weighted,hispanic,3.94,3.94,0.0284,3.94,Hispanic,,,,,3.94,,,-3.94,,
PRISM HOTEL PARTNERS GP,M5 Variable-Weight,race,4.59,5.426,0.1362,9.7,White,-0.89,-5.18,-5.93,,,,-1.77,,4.08,9.7
PRISM HOTEL PARTNERS GP,M5 Variable-Weight,gender,2.22,2.22,0.0159,2.22,Male,,,,-2.22,,2.22,,,,
PRISM HOTEL PARTNERS GP,M5 Variable-Weight,hispanic,1.56,1.56,0.0113,1.56,Hispanic,,,,,1.56,,,-1.56,,
PRISM HOTEL PARTNERS GP,M6 IPF+Occ,race,12.05,17.03,0.3319,36.15,White,-1.37,-9.11,-17.44,,,,-1.83,,-6.4,36.15
PRISM HOTEL PARTNERS GP,M6 IPF+Occ,gender,2.06,2.06,0.0149,2.06,Male,,,,2.06,,-2.06,,,,
PRISM HOTEL PARTNERS GP,M6 IPF+Occ,hispanic,13.43,13.43,0.1029,13.43,Hispanic,,,,,-13.43,,,13.43,,
ALEXANDER & BALDWIN INC,M1 Baseline (60/40),race,10.9,16.159,0.338,32.72,NHOPI,0.06,3.0,0.74,,,,-32.72,,20.31,8.6
ALEXANDER & BALDWIN INC,M1 Baseline (60/40),gender,27.64,27.64,0.2014,27.64,Female,,,,27.64,,-27.64,,,,
ALEXANDER & BALDWIN INC,M1 Baseline (60/40),hispanic,4.06,4.06,0.0675,4.06,Hispanic,,,,,4.06,,,-4.06,,
ALEXANDER & BALDWIN INC,M2 Three-Layer (50/30/20),race,10.5,15.364,0.3143,31.51,NHOPI,0.06,4.09,0.96,,,,-31.51,,18.55,7.85
ALEXANDER & BALDWIN INC,M2 Three-Layer (50/30/20),gender,26.74,26.74,0.1951,26.74,Female,,,,26.74,,-26.74,,,,
ALEXANDER & BALDWIN INC,M2 Three-Layer (50/30/20),hispanic,4.66,4.66,0.0757,4.66,Hispanic,,,,,4.66,,,-4.66,,
ALEXANDER & BALDWIN INC,M3 IPF,race,12.22,17.563,0.455,35.93,NHOPI,-0.16,13.16,-0.57,,,,-35.93,,19.17,4.32
ALEXANDER & BALDWIN INC,M3 IPF,gender,30.89,30.89,0.2243,30.89,Female,,,,30.89,,-30.89,,,,
