company,company_code,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,naics_group,size_bucket,region,minority_share,urbanicity,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
ASPLUNDH TREE EXPERT LLC,924588,M1 Baseline (60/40),race,3.65,4.683,0.145,8.99,White,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,-1.48,1.84,5.83,,,,-0.48,,3.31,-8.99
ASPLUNDH TREE EXPERT LLC,924588,M1 Baseline (60/40),gender,36.52,36.52,0.3394,36.52,Female,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,36.52,,-36.52,,,,
ASPLUNDH TREE EXPERT LLC,924588,M1 Baseline (60/40),hispanic,10.03,10.03,0.0947,10.03,Not Hispanic,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,,-10.03,,,10.03,,
ASPLUNDH TREE EXPERT LLC,924588,M2 Three-Layer (50/30/20),race,3.82,4.793,0.1571,9.47,White,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,-1.49,2.76,4.69,,,,-0.48,,4.01,-9.47
ASPLUNDH TREE EXPERT LLC,924588,M2 Three-Layer (50/30/20),gender,38.23,38.23,0.3513,38.23,Female,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,38.23,,-38.23,,,,
ASPLUNDH TREE EXPERT LLC,924588,M2 Three-Layer (50/30/20),hispanic,11.17,11.17,0.1072,11.17,Not Hispanic,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,,-11.17,,,11.17,,
ASPLUNDH TREE EXPERT LLC,924588,M3 IPF,race,2.87,4.218,0.146,8.62,White,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,-1.65,-0.8,-5.36,,,,-0.51,,-0.29,8.62
ASPLUNDH TREE EXPERT LLC,924588,M3 IPF,gender,30.55,30.55,0.297,30.55,Female,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,30.55,,-30.55,,,,
ASPLUNDH TREE EXPERT LLC,924588,M3 IPF,hispanic,20.9,20.9,0.263,20.9,Hispanic,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,,,,,-20.9,,,20.9,,
ASPLUNDH TREE EXPERT LLC,924588,M4 Occ-Weighted,race,3.5,4.498,0.145,8.5,White,Admin/Staffing (56),10000+,Northeast,Low (<25%),Urban,-1.5,1.22,5.63,,,,-0.49,,3.67,-8.5
