uml_id,band,source_system,match_method,confidence_score,source_id,source_name,source_city,source_state,target_id,target_name,target_city,target_state,name_similarity,state_match,city_match,triage,manual_label,manual_notes
211418,MEDIUM,crosswalk,USASPENDING_FUZZY_NAME_STATE,0.800,7817,,,CO,020b0388207a07a5,"CAV International, Inc.",Colorado Springs,CO,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
2072581,MEDIUM,sec,FUZZY_TRIGRAM,0.700,1779552,Ao1 Holdings Inc.,MINNEAPOLIS,MN,7286e0b9635515fc,ASV Holdings INC,Grand Rapids,MN,0.833,True,False,LOW_RISK,Likely Correct,
2509403,MEDIUM,sam,FUZZY_SPLINK_ADAPTIVE,0.775,S8KXNLPMRMU7,CITY OF CLEVELAND HEIGHTS,CLEVELAND HEIGHTS,OH,8642cde265b43c1c,City of Cleveland,Cleveland,OH,0.778,True,False,LOW_RISK,Likely Correct,
1531820,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,764ef9c5499b7f34ae67781b96a2e88f,"AUSTIN TYLER CONSTRUCTION, LLC",NEW LENOX,IL,86a15ff786cf3298,Austin Tyler Construction Inc,Elwood,IL,1.0,True,False,LOW_RISK,Likely Correct,
2411523,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,KM97M3BHTB59,DIAMOND CONSTRUCTION COMPANY,QUINCY,IL,841881ea577498c5,Diamond Construction,Quincy,IL,1.0,True,True,LOW_RISK,Likely Correct,
1389508,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,388553d6031504836d5f3f7bbd2c1923,OWENS-BROCKWAY GLASS CONTAINER INC.,FAIRFIELD,CA,73b4e5b25c8bcb9f,"OWENS-BROCKWAY, GLASS CONTAINER",Oakland,CA,1.0,True,False,LOW_RISK,Likely Correct,
1418315,MEDIUM,osha,FUZZY_TRIGRAM,0.794,0bf4c93b6336be7446aa50f67d039764,"PAR ELECTRICAL CONTRACTORS, INC.",TWAIN,CA,ded303eb966339ea,CSI Electrical Contractors Inc.,Santa Fe Springs,CA,0.885,True,False,LOW_RISK,Likely Correct,
219641,MEDIUM,crosswalk,CROSSWALK,0.800,521915850,,,,2d4fb01756212310,United Methodist Communities,Neptune,NJ,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
2286476,MEDIUM,whd,FUZZY_SPLINK_ADAPTIVE,0.775,1650139,Chenega Integrated Systems LLC-Ft. Richardson,Fort Richardson,AK,c890127ccdb5fe65,Chenega Integrated Systems LLC,Anchorage,AK,0.788,True,False,LOW_RISK,Likely Correct,
2507117,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,SNT8DD1RH7M8,THYSSENKRUPP ROTHE ERDE USA INC.,AURORA,OH,19571a414bee9f1f,THYSSENKRUPP ROTHE ERDE USA,AURORA,OH,1.0,True,True,LOW_RISK,Likely Correct,
1573491,MEDIUM,osha,NAME_AGGRESSIVE_STATE_SPLINK_RESOLVED,0.801,b4b38330414f8c814fb28be180fe0335,GORDON TERMINAL SERVICE COMPANY OF PA,BAYONNE,NJ,1d61a4cf55b2ed46,Gordon Terminal Service Company,Bayonne,NJ,0.909,True,True,LOW_RISK,Likely Correct,
188497,MEDIUM,nlrb,name_zip_exact,0.980,6076,ALASKAN COPPER WORKS,Seattle,WA,2e66eef5e0525660,Alaskan Copper Works,Seattle,WA,1.0,True,True,LOW_RISK,Likely Correct,
2278348,MEDIUM,whd,NAME_AGGRESSIVE_STATE,0.750,1626207,"Graham Packaging Company, Inc.",Modesto,CA,90ea1561c5061e7e,Graham Packaging Company,Richmond,CA,1.0,True,False,LOW_RISK,Likely Correct,
1383483,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,13b4b90274ce0547d77d8b23ddc9ace2,"CD SMITH CONSTRUCTION, INC",MADISON,WI,5d99a5266d1a3cf9,CD Smith Construction,Fond du Lac,WI,1.0,True,False,LOW_RISK,Likely Correct,
225040,MEDIUM,crosswalk,CROSSWALK,0.800,350563920,,,,ae513f7189d77b75,Our Sunday Visitor,Huntington,IN,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
207694,MEDIUM,gleif,NAME_STATE,0.800,549300B1HTS086FM8144,,,CA,96d7876dcb713788,ACCO Engineered Systems,Pasadena,CA,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
225965,MEDIUM,crosswalk,CROSSWALK,0.800,240548304,,,,c75270a9ccead1ba,"Bedford Rural Electric Cooperative, Inc.",Bedford,PA,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
2362952,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,F44LL4LE6LN3,"HANDS-ON EXECUTIVE JANITORIAL SERVICES, INC",SACRAMENTO,CA,5d9eb508c65f6328,Hands On Executive Janitorial Service,Sacramento,CA,1.0,True,True,LOW_RISK,Likely Correct,
192873,MEDIUM,nlrb,name_zip_exact,0.980,63818,Genesis Logistics,Santa Fe Springs,CA,d41d1171bad2a8be,"Genesis Logistics, Inc.",Santa Fe Springs,CA,1.0,True,True,LOW_RISK,Likely Correct,
210650,MEDIUM,gleif,NAME_STATE,0.800,549300SJO1HS2709ED10,,,LA,f664bcce2ff9a4b8,Coastal Cargo,New Orleans,LA,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
2415536,MEDIUM,sam,FUZZY_TRIGRAM,0.821,G1QLBXG4AZG1,HOUSING & REDEVELOPMENT AUTHORITY OF WIN,WINONA,MN,9de97179dadd03eb,HOUSING & REDEVELOPMENT AUTHORITY,Duluth,MN,0.939,True,False,LOW_RISK,Likely Correct,
2256077,MEDIUM,990,FUZZY_SPLINK_ADAPTIVE,0.775,9312,Providence Jewelers Club,EAST PROVIDENCE,RI,2b4600858867f4d1,Providence College,Providence,RI,0.619,True,False,REVIEW_MEDIUM_RISK,Needs Human Review,
190443,MEDIUM,nlrb,name_state_exact,0.900,32048,Charlotte Area Transit System,Charlotte,NC,0955a849aa9fa1a2,Charlotte area transit system,Charlotte,NC,1.0,True,True,LOW_RISK,Likely Correct,
2228195,MEDIUM,990,FUZZY_TRIGRAM,0.711,414461,MARYLAND STATE GOLF ASSOCIATION,LUTHERVILLE,MD,f4fef952d5dcab46,Maryland State Education Association,Annapolis,MD,0.836,True,False,LOW_RISK,Likely Correct,
2410622,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,JHZJUEQNC4B1,CAE USA INC.,ARLINGTON,TX,f4c9474577edfac9,CAE USA,Corpus Christi,TX,1.0,True,False,LOW_RISK,Likely Correct,
1416701,MEDIUM,osha,FUZZY_TRIGRAM,0.739,0aaa19ac530882698a7d59eeafdef4c9,"KNA CONTRACTING, LLC",ROANOKE,VA,4e2f8af4ffae83ec,"T&K Contracting, LLC",Woodbridge,VA,0.867,True,False,LOW_RISK,Likely Correct,
1411095,MEDIUM,osha,FUZZY_TRIGRAM,0.720,060603e205f3fb4b7864b632653f47fb,APL CONSTRUCTION LLC,PLAINSBORO,NJ,c28ed32df10a763e,ARMY CONSTRUCTION LLC,BLOOMFIELD,NJ,0.848,True,False,LOW_RISK,Likely Correct,
1464039,MEDIUM,osha,FUZZY_TRIGRAM,0.833,31b87da606604441431b3c5d02a461f2,MOWBRAYS TREE SERVICE,PORTERVILLE,CA,b94055d1f9e68904,Mowbray's Tree Service,San Bernardino,CA,0.963,True,False,LOW_RISK,Likely Correct,
